rank,purchaser_name_raw,total_amount_inr,total_amount_cr,bond_count,pct_of_corporate_value,cumulative_pct_of_corporate,classification_rule_hit,source_file,source_sha256
59,LCCPROJECTSPRIVATELIMITED,315000000,31.5000,36,0.2750,65.3888,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
60,KAMNA CREDITS AND PROMOTORS PVT LTD,305000000,30.5000,53,0.2662,65.6551,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
61,GENUS POWER INFRASTRUCTURES LIMITED,305000000,30.5000,35,0.2662,65.9213,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
62,PHILLIPS CARBON BLACK LIMITED,300000000,30.0000,30,0.2619,66.1831,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
63,HONEYWELL PROPERTIES PVT LTD,300000000,30.0000,30,0.2619,66.4450,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
64,HETERO DRUGS LIMITED,300000000,30.0000,30,0.2619,66.7069,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
65,JINDAL STAINLESS LTD,300000000,30.0000,30,0.2619,66.9687,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
66,APARNA FARMS AND ESTATES LLP,300000000,30.0000,30,0.2619,67.2306,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
67,JINDAL SAW LIMITED,290000000,29.0000,29,0.2531,67.4837,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
68,ZYDUS HEALTHCARE LIMITED,290000000,29.0000,29,0.2531,67.7369,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
69,WESTWELL GASES PRIVATE LIMITED,285000000,28.5000,33,0.2488,67.9856,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
70,PENGUIN TRADING & AGENCIES LIMITED,275000000,27.5000,32,0.2400,68.2257,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
71,KAYPEE ENTERPRISES,270000000,27.0000,27,0.2357,68.4613,word:ENTERPRISES,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
72,RASHMI METALIKS LTD,270000000,27.0000,27,0.2357,68.6970,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
73,MSN PHARMACHEM PVT LTD,260000000,26.0000,26,0.2269,68.9240,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
74,KALPATARU PROJECTS INTERNATIONAL LIMITED,255000000,25.5000,30,0.2226,69.1466,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
75,DLF LUXURY HOMES LIMITED,250000000,25.0000,25,0.2182,69.3648,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
76,VEDANTA LTD,250000000,25.0000,43,0.2182,69.5830,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
77,AUTHUM INVESTMENT AND INFRASTRUCTURE LTD,250000000,25.0000,25,0.2182,69.8012,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
78,HETERO LABS LIMITED,250000000,25.0000,25,0.2182,70.0194,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
79,PIRAMAL ENTERPRISES LIMITED,250000000,25.0000,25,0.2182,70.2376,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
80,MAATHA PROJECTS LLP,250000000,25.0000,25,0.2182,70.4559,substring:LLP,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
81,MAHINDRA & MAHINDRA LTD,250000000,25.0000,25,0.2182,70.6741,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
82,IRB MP EXPRESSWAY PRIVATE LIMITED,250000000,25.0000,25,0.2182,70.8923,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
83,PRATHMESH CONSTRUCTION,250000000,25.0000,25,0.2182,71.1105,word:CONSTRUCTION,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
84,AVEES TRADING & FINANCE PVT LTD,240000000,24.0000,24,0.2095,71.3200,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
85,MANKIND PHARMA LIMITED,240000000,24.0000,24,0.2095,71.5295,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
86,HES INFRA PVT LTD,220000000,22.0000,22,0.1920,71.7215,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
87,WPIL LIMITED,220000000,22.0000,22,0.1920,71.9136,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
88,SIDDHI TRADING,220000000,22.0000,22,0.1920,72.1056,word:TRADING,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
89,L7 HITECH PRIVATE LIMITED,220000000,22.0000,22,0.1920,72.2976,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
90,K RAHEJA CORP PVT LTD,210000000,21.0000,21,0.1833,72.4809,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
91,PRL DEVELOPERS PRIVATE LIMITED,200000000,20.0000,20,0.1746,72.6555,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
92,SUN PHARMA LABORATORIES LIMTED,200000000,20.0000,20,0.1746,72.8301,word:LABORATORIES,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
93,BAJAJ FINANCE LTD,200000000,20.0000,20,0.1746,73.0047,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
94,FINOLEX CABLES LTD,200000000,20.0000,20,0.1746,73.1792,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
95,INTERGLOBE REAL ESTATE VENTURES PVT LTD,200000000,20.0000,20,0.1746,73.3538,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
96,LUCINA LAND DEVELOPMENT LIMITED,200000000,20.0000,20,0.1746,73.5284,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
97,ULTRATECHCEMENTSLTD,200000000,20.0000,20,0.1746,73.7029,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
98,HH IRON AND STEEL PRIVATE LIMITED,200000000,20.0000,20,0.1746,73.8775,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
99,CHANDER COMMERCIALS PVT LTD,200000000,20.0000,20,0.1746,74.0521,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
100,TORRENT POWER LTD,200000000,20.0000,110,0.1746,74.2267,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
101,BKC PROPERTIES PVT LTD,200000000,20.0000,20,0.1746,74.4012,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
102,RAJAPUSHPA PROPERTIES PVT LTD,200000000,20.0000,20,0.1746,74.5758,substring:PVT,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
103,HONOUR LAB LTD,200000000,20.0000,20,0.1746,74.7504,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
104,KOYA AND COMPANY CONSTRUCTION LTD,200000000,20.0000,20,0.1746,74.9250,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
105,HERO MOTOCORP LIMITED,200000000,20.0000,20,0.1746,75.0995,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
106,INTAS PHARMACEUTICALS LIMITED,200000000,20.0000,20,0.1746,75.2741,substring:LIMITED,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
107,MARUTI SUZUKI INDIA LTD,200000000,20.0000,20,0.1746,75.4487,substring:LTD,data/parsed_sbi_purchase.csv,fe5f2ba9d1209486901598f7c84a668ce059ae98a8d80cd3966744053de28302
