purchaser_name_raw,party_name,total_amount_inr,total_amount_cr,bond_count
ST PATRICKS REALTY PVT LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
VARDHMAN TEXTILES LIMITED,BHARATIYA JANATA PARTY,30000000,3.0000,12
APOLLO TYRES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
JINDAL POLY FILMS LIMITED,BHARATIYA JANATA PARTY,30000000,3.0000,3
SMR AUTOMOTIVE SYSTEMS INDIA LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
OMKAR REALTORS PROJECTS PVT LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
WELSPUN ENTERPRISES LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
ZENSAR TECHNOLOGIES LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
JMC PROJECTS  INDIA  LTD,BHARATIYA JANATA PARTY,30000000,3.0000,3
ULTRA TECH CEMENT LIMITED,SHIVSENA,30000000,3.0000,12
GENEXT HARDWARE   PARKS PVT. LTD,SHIVSENA,30000000,3.0000,3
OM CREDIT PVT LTD,ALL INDIA TRINAMOOL CONGRESS,30000000,3.0000,3
SKP MERCHANTS LLP,ALL INDIA TRINAMOOL CONGRESS,30000000,3.0000,3
SUN DISTRIBUTION SERVICES PVT LTD,DRAVIDA MUNNETRA KAZHAGAM (DMK),30000000,3.0000,3
THRIVENI EARTH MOVERS PVT LTD,DRAVIDA MUNNETRA KAZHAGAM (DMK),30000000,3.0000,3
D R POLYMERS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
D R INTERNATIONAL PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,3
AUROBINDO PHARMA LTD,BHARATIYA JANATA PARTY,30000000,3.0000,12
MUTHOOT FINANCE LTD,BHARATIYA JANATA PARTY,30000000,3.0000,30
KEYSTONE REALTORS PVT LTD,BHARATIYA JANATA PARTY,30000000,3.0000,30
SHYAM STEEL MANUFACTURING LTD. (FLY SOVA  ISPAT LTD.),BHARATIYA JANATA PARTY,30000000,3.0000,30
TRANSWAYS EXIM PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",30000000,3.0000,30
BMW INFRASTRUCTURE LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",26000000,2.6000,8
ANBEE CONSTRUCTIONS LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25000000,2.5000,7
CAPE TRADING LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25000000,2.5000,7
RAGHUKOOL ESTATE DEVELOPMENT LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25000000,2.5000,7
DASAMI LAB PRIVATE LTD,BHARAT RASHTRA SAMITHI,25000000,2.5000,7
DANIKA TRADERS PRIVATE LTD,BHARAT RASHTRA SAMITHI,25000000,2.5000,7
R   R INFRATECH  INDIA  PRIVATE LIM,BHARAT RASHTRA SAMITHI,25000000,2.5000,16
PRUDHVI CONSTRUCTIONS PRIVATE LIMIT,BHARAT RASHTRA SAMITHI,25000000,2.5000,16
PURULIA BOTTLING PVT LTD,RASHTRIYA JANTA DAL,25000000,2.5000,7
SPECO INFRASTRUCTURES,BHARATIYA JANATA PARTY,25000000,2.5000,7
MTC ISPAT PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25000000,2.5000,7
AJAY METALLOYS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25000000,2.5000,7
GOODLUCK  INDIA LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25000000,2.5000,7
KALPTARU INVESTMENTS PVT.LTD.  PROP,ALL INDIA TRINAMOOL CONGRESS,25000000,2.5000,16
PURULIA BOTTLING PVT LTD,ALL INDIA TRINAMOOL CONGRESS,25000000,2.5000,25
RATNAMANI METALS AND TUBES LTD,BHARATIYA JANATA PARTY,25000000,2.5000,7
K K RESOURCES PRIVATE LIMITED,BHARATIYA JANATA PARTY,25000000,2.5000,7
SAROSH ALIZAH MINING,BHARATIYA JANATA PARTY,25000000,2.5000,7
COMFORT TRIMS PRIVATE LIMITED,BHARATIYA JANATA PARTY,25000000,2.5000,7
AUROBINDO PHARMA LIMITED,TELUGU DESAM PARTY,25000000,2.5000,7
MAHALAXMI VIDYUT PVT.LTD.,NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,25000000,2.5000,7
MAHALAXMI VIDYUT PVT.LTD.,SHIVSENA,25000000,2.5000,7
JMS MINING  PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,25000000,2.5000,7
SILVERTOSS SECURITIES PVT LTD,BHARATIYA JANATA PARTY,25000000,2.5000,7
MKK METAL SECTIONS PVT LTD,BHARATIYA JANATA PARTY,25000000,2.5000,7
LAURELSECURITIESPVTLTD,ALL INDIA TRINAMOOL CONGRESS,25000000,2.5000,7
R.S.BROTHERS RETAIL INDIA PRIVATE LIMITE D,BHARAT RASHTRA SAMITHI,25000000,2.5000,7
BIGC MOBILES PVT LTD,BHARAT RASHTRA SAMITHI,25000000,2.5000,7
BESSEGGENINFOTECHLLP,ALL INDIA TRINAMOOL CONGRESS,25000000,2.5000,25
AMAR SECURITIES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25000000,2.5000,25
M/S T S WIND POWER DEVELOPERS,BHARATIYA JANATA PARTY,23000000,2.3000,5
SERVEALL LAND DEVELOPERS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22500000,2.2500,9
CIPLA LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22000000,2.2000,4
V M SALGAOCAR CORPORATION PVT LTD,BHARATIYA JANATA PARTY,22000000,2.2000,22
CAPSTAN TRADING LLP,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
BALRAMPUR CHINI MILLS LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
ANANT UDYOG LLP,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
KIRITI VENTURES PRIVATE LIMITED,TELUGU DESAM PARTY,20000000,2.0000,2
GREAT EASTERN STORES PVT LTD,ALL INDIA TRINAMOOL CONGRESS,20000000,2.0000,2
BIRLAESTATESPRIVATELIMITED,SHIVSENA,20000000,2.0000,2
PRARAMBH SECURITIES PVT LTDPROPRIET,SHIVSENA,20000000,2.0000,2
BENGAL VIPANAPAN PRIVATE LIMITED,ALL INDIA TRINAMOOL CONGRESS,20000000,2.0000,2
MONALISA BOTTLING INDUSTRIES PVT LTD,BIJU JANATA DAL,20000000,2.0000,11
MANU VYAPAR (P) LTD.,BIJU JANATA DAL,20000000,2.0000,2
ELITE DEVELOPERS,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
GREENKO SUMEZ HYDRO ENERGIES PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SAROJA RENEWABLES PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SEI ENERSTAR RENEWABLE ENRGY PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
AASHMAN ENERGY PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
PRATYASH RENEWABLE PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SEI MIHIR ENERGY PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SHREYAS RENEWABLE ENERGY PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
ZUVAN ENERGY PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SEI BASKARA POWER PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
DIVYESH POWER PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
ELENA RENEWABLE ENERGY PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
RT RENEWABLE ENERGY PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SEI VENUS PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SANOLA WIND PROJECT PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SUNBORNE ENERGY ANDHRA PVT LTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
SEI DIAMOND PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
NATCO PHARMA LIMITED,BHARATIYA JANATA PARTY,20000000,2.0000,2
VISHVARUPA SOLAR POWER PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
TEKREANT INDIA PRIVATE LIMITED,TELUGU DESAM PARTY,20000000,2.0000,2
AMARAVATI TEKSYSTEMS PRIVATE LIMITE,TELUGU DESAM PARTY,20000000,2.0000,2
BIRD WORLDWIDE FLIGHT SERVICES INDI,AAM AADMI PARTY,20000000,2.0000,2
LAURELSECURITIESPVTLTD,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
HERALD BEVERAGES PRIVATE LIMITED,RASHTRIYA JANTA DAL,20000000,2.0000,2
THE ANGUS COMPANY LIMITED,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
EFICENS SOFTWARE SERVICES PVT LTD,TELUGU DESAM PARTY,20000000,2.0000,2
PRABHAT HOMES PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
RANJIT BUILDCON LIMITED,SHIVSENA,20000000,2.0000,2
RANJIT TOLL ROAD PRIVATE LIMITED,SHIVSENA,20000000,2.0000,2
CHHATTISGARH DISTILLERIES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
PUJA COAL PRIVATE LIMITED,JHARKHAND MUKTI MORCHA,20000000,2.0000,2
JINDAL SAW LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
BLUESTONE COMMODITIES LLP,BHARATIYA JANATA PARTY,20000000,2.0000,2
AARISH SOLAR POWER PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
MOHAN STEEL CORPORATION,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
ANIMALA WIND POWER PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
NIMBHA BIOTECH PRIVATE LIMITED,JANATA DAL ( SECULAR ),20000000,2.0000,2
SLRV HOMES LLP,TELUGU DESAM PARTY,20000000,2.0000,2
NVNR POWER   INFRA PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
ASISH FINANCE PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
GREENKO RAYALA WIND POWER PRIVATE LIMITE D,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
B G SHIRKE CONSTRUCTION TECHNOLOGY PVT L TD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
YUVAN TRADING   CONSULTANCY LLP,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
KHANDKE WIND ENERGY PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
DEVARAHIPPARIGI WIND POWER PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
SKEIRON RENEWABLE ENERGY AMIDYALA P,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),20000000,2.0000,2
MAITHRI LABORATORIES (PVT) LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
MSN ORGANICS PVT LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
HES INFRA PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
SOMASILA SOLAR POWER LIMITED,TELUGU DESAM PARTY,20000000,2.0000,2
AIC VMR PROJECTS PVT LTD,TELUGU DESAM PARTY,20000000,2.0000,2
VIHAAN AUTO VENTURES PRIVATE LIMITED,TELUGU DESAM PARTY,20000000,2.0000,2
WONDER MARMOSTONES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
MANU VYAPAR (P) LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
GUJARAT FLUORO CHEMICALS LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
GUWAHATI CARBON LIMITED,BHARATIYA JANATA PARTY,20000000,2.0000,2
"M/S VISION SECURITY SERVICES, PROP-MAJOR  DEVENDRA NATH DAS",BHARATIYA JANATA PARTY,20000000,2.0000,2
TRIDENT LIMITED {FORMERLY ABHISHEK INDUS TRIES LIMITED},"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
THE ANUP ENGINEERING,BHARATIYA JANATA PARTY,20000000,2.0000,2
TORRENT POWER LTD,AAM AADMI PARTY,20000000,2.0000,2
SNS CLOTHING PVT LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
RAMGAD MINERALS AND MINING LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
SWETA ESTATES PVT LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
BHARTI INFRATEL LIMITED,BHARATIYA JANATA PARTY,20000000,2.0000,2
OM METALS DEVELOPERS (P) LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
PVR LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,11
LUMAX INDUSTRIES LIMITED,BHARATIYA JANATA PARTY,20000000,2.0000,2
YASHODA SUPER SPECIALITY HOSPITAL,BHARATIYA JANATA PARTY,20000000,2.0000,2
MODERN ROAD MAKERS PVT LTD,DRAVIDA MUNNETRA KAZHAGAM (DMK),20000000,2.0000,2
K RAHEJA CORP PVT LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
FINOLEX CABLES LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
JMC PROJECTS  INDIA  LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
ALLANASONS PRIVATE L,SHIVSENA,20000000,2.0000,2
GENEXT HARDWARE   PARKS PVT. LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
DALMIA BHARAT SUGAR AND INDUSTRIES LTD,BHARATIYA JANATA PARTY,20000000,2.0000,2
GOLDSTONE CEMENTS LTD,ALL INDIA TRINAMOOL CONGRESS,20000000,2.0000,2
RITESH PROJECTS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
LULU INDIA SHOPPING MALL PRIVATE LI,BHARATIYA JANATA PARTY,20000000,2.0000,2
RAGHUKOOL ESTATE DEVELOPMENT LLP,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
CASA MARIA PROPERTIES LLP,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
CAPE TRADING LLP,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
ANBEE CONSTRUCTIONS LLP,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
PRB SECURITIES PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20000000,2.0000,2
SILVERTONE SECURITIES PVT LTD,ALL INDIA TRINAMOOL CONGRESS,20000000,2.0000,2
CROCHET TRADE AND INVESTMENT PVT L,ALL INDIA TRINAMOOL CONGRESS,20000000,2.0000,2
VARSITY EDUCATION MANAGEMENT PVT LIMITED,BHARAT RASHTRA SAMITHI,20000000,2.0000,2
KAMAL TRADING CORPORATION,BHARATIYA JANATA PARTY,20000000,2.0000,20
MOUNT EVEREST BREWERIES LIMITED,BHARATIYA JANATA PARTY,19900000,1.9900,19
MEGA EQUITAS PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18000000,1.8000,9
TRANSWAYS EXIM PRIVATE LTD,ALL INDIA TRINAMOOL CONGRESS,18000000,1.8000,18
VEDANTA ELECTRICALS PRIVATE LIMITED,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),17500000,1.7500,13
PRAKASH DISTILLERY & CHEMICAL CO (P) LT  D,ALL INDIA TRINAMOOL CONGRESS,16580000,1.6580,38
ITC LIMITED,BHARAT RASHTRA SAMITHI,16029000,1.6029,18
MS PEARL GLOBAL INDUSTRIES LTD FORM,BHARATIYA JANATA PARTY,16000000,1.6000,16
PRB SECURITIES PVT LTD,BIJU JANATA DAL,15000000,1.5000,6
CROCHET TRADE AND INVESTMENT PVT LT,ALL INDIA TRINAMOOL CONGRESS,15000000,1.5000,6
RIGHT AID CONSULTANTS PVT LTD,BHARAT RASHTRA SAMITHI,15000000,1.5000,6
RANJIT TOLL ROAD PRIVATE LIMITED,BHARATIYA JANATA PARTY,15000000,1.5000,6
RANJIT PROJECTS PRIVATE LIMITED,BHARATIYA JANATA PARTY,15000000,1.5000,6
BSCPL INFRASTRUCTURE LIMITED,BHARAT RASHTRA SAMITHI,15000000,1.5000,6
BALU CEMENT CORPORATION,BIJU JANATA DAL,15000000,1.5000,6
INTERNATIONAL TRADING CORPORATION,BHARATIYA JANATA PARTY,15000000,1.5000,6
SI AIR SPRINGS PRIVATE LTD,BHARATIYA JANATA PARTY,15000000,1.5000,6
SUNIL ENGINEERING AND SYSTEMS,BHARAT RASHTRA SAMITHI,15000000,1.5000,6
SPECO INFRASTRUCTURE,BHARATIYA JANATA PARTY,15000000,1.5000,6
OM METALS DEVELOPERS (P) LTD.,BHARATIYA JANATA PARTY,15000000,1.5000,6
THE SUPREME INDUSTRIES LTD,BHARATIYA JANATA PARTY,15000000,1.5000,6
OMKAR REALTORS PROJECTS PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15000000,1.5000,6
GANNON DUNKERLEY AND CO LIMITED,BHARATIYA JANATA PARTY,15000000,1.5000,6
SHREE CEMENT LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15000000,1.5000,6
RIGHT AID CONSULTANTS PVT LTD,ALL INDIA TRINAMOOL CONGRESS,15000000,1.5000,6
DERIVE TRADING AND RESORTS PRIVATE LIMIT,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15000000,1.5000,15
KAMAL TRADING CORPORATION,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15000000,1.5000,15
SRIVAY INDUSTRIES LIMITED,BHARAT RASHTRA SAMITHI,14900000,1.4900,14
SENGUPTA AND SENGUPTA PRIVATE LIMIT,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),14000000,1.4000,5
HIMALAYAN ENDEAVOUR PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),14000000,1.4000,5
AVON CYCLES LTD,AAM AADMI PARTY,14000000,1.4000,14
AUSTIN PLYWOOD PRIVATE LIMITED FORMERLY  B S PROGRESSIVE PVT,ALL INDIA TRINAMOOL CONGRESS,13000000,1.3000,22
KEYSTONE REALTORS PVT LTD,SHIVSENA,13000000,1.3000,13
JBM INDUSTRIES LIMITED,BHARATIYA JANATA PARTY,12500000,1.2500,8
CRYSTAL TEA INDIA PVT LTD,ALL INDIA TRINAMOOL CONGRESS,12500000,1.2500,17
SWARNAPUSHPA VANIJYA PRIVATE LIMITE,ALL INDIA TRINAMOOL CONGRESS,12500000,1.2500,17
THE SUPREME INDUSTRIES LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12500000,1.2500,17
PRIME SALES CORPORATION,BHARATIYA JANATA PARTY,12500000,1.2500,26
SILVERTONE SECURITIES PRIVATE LIMIT,BIJU JANATA DAL,12000000,1.2000,3
NORTHERN SPIRITS LTD,RASHTRIYA JANTA DAL,12000000,1.2000,3
CHOWGLE AND COMPANY PVT LTD,BHARATIYA JANATA PARTY,12000000,1.2000,3
ABHINANDANSTOCKBROKINGPVTLTD,BIJU JANATA DAL,12000000,1.2000,12
RAIPUR BOTLING COMPANY,BHARATIYA JANATA PARTY,10001000,1.0001,2
TARGET VINCOM PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
APOLLO VINTRADE PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
DIVYASREE HOLDINGS PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
CHAYA REAL ESTATE PVT LIMITED,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
CURATED LIVING SOLUTIONS PRIVATE LI,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
BISHOPS WEED FOOD CRAFTS PRIVATE LI,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
BENGAL VIPANAPAN PRIVATE LIMITED,AAM AADMI PARTY,10000000,1.0000,1
OM CREDIT PVT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
MANU VYAPAR (P) LTD.,ALL INDIA TRINAMOOL CONGRESS,10000000,1.0000,1
MKJ ENTERPRISES LIMITED,JHARKHAND MUKTI MORCHA,10000000,1.0000,1
AVEES TRADING FINANCE PVT LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
BESSEGGENINFOTECHLLP,AAM AADMI PARTY,10000000,1.0000,1
R.S.BROTHERS RETIAL INDIA PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
14 REELS PLUS LLP,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
GREENKO SRI SAI KRISHNA HYDRO ENERGIES PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
ACHINTYA SOLAR POWER PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),10000000,1.0000,1
GREENKO SOLAR POWER (DHARAMAVARAM) LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
RAYALA SEEMA WIND ENERGY PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
ANANTPURA WIND ENERGIES PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
GREENKO ASTHA PROJECTS (INDIA) PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
GANGDARI HYDRO POWER PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
GREENKO HIM KAILASH HYDRO POWER PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
TANOT WIND POWER VENTURES PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
DR REDDYS LABORATORIES LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,1
SUVARCHAS SOLAR POWER PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
PENNAR RENEWABLES PVT LTD( NEW ERA,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
PREMIER PHOTOVOLTAIC MEDAK (P)LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
GRINIBHRIT SOLAR POWER PVT LTD,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
SREE RAYALASEEMA HI STRENGTH HYPO LTD,TELUGU DESAM PARTY,10000000,1.0000,1
SLICK SOFTWARE SOLUTIONS PRIVATE LI,TELUGU DESAM PARTY,10000000,1.0000,1
PANACEA BIOTEC PHARMA LTD PHARMACEU,BHARATIYA JANATA PARTY,10000000,1.0000,1
SNB MINERALS PRIVATE LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,1
YASHODA SUPER SPECIALITY HOSPITAL,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),10000000,1.0000,1
YASHODA SUPER SPECIALITY HOSPITAL,AAM AADMI PARTY,10000000,1.0000,1
KAMNA CREDITS AND PROMOTORS PVT LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
RANJIT PROJECTS PRIVATE LIMITED,SHIVSENA,10000000,1.0000,1
AJANTA PHARMA LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
CHHATTISGARH DISTILLERIES LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,1
CAMELIA GRIHA NIRMAN PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
ARS COATED STEEL,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
MYTRAH ENERGY INDIA PRIVATE LIMITED,BHARAT RASHTRA SAMITHI,10000000,1.0000,1
RAY CONSTRUCTIONS LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
MONALISA BOTTLING INDUSTRIES PVT LTD,RASHTRIYA JANTA DAL,10000000,1.0000,1
SENGUPTA AND SENGUPTA PVT LTD,RASHTRIYA JANTA DAL,10000000,1.0000,1
PATEL HIGHWAY MANAGEMENT PVT LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
TORRENT PHARMACEUTICALS LIMITED,AAM AADMI PARTY,10000000,1.0000,1
ANTIQUE INDIA PRIVATE LIMITED,BHARATIYA JANATA PARTY,10000000,1.0000,1
DESCENT BUILDWELL LLP,BHARATIYA JANATA PARTY,10000000,1.0000,1
SHREE CEMENT LTD,RASHTRIYA JANTA DAL,10000000,1.0000,1
SHREE CEMENT LTD,BIHAR PRADESH JANTA DAL(UNITED),10000000,1.0000,1
ROSHNI DEALMARK PRIVATE LIMITED,BIJU JANATA DAL,10000000,1.0000,1
PROCURE ADVISORY SERVICES PRIVATE L,BIJU JANATA DAL,10000000,1.0000,1
MSPL LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
VIJAYKUMARMISHRACONSTRUCTIONPVT,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
IDEAL REAL ESTATES PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
JUBILANT LIFE SCIENCES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
ADIT BUILD WELL PVT LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
BHARTI INFRATEL LIMITED,BIHAR PRADESH JANTA DAL(UNITED),10000000,1.0000,1
BHARTI INFRATEL LIMITED,SHIROMANI AKALI DAL,10000000,1.0000,1
SHIVALIK PRINTS LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
VARDHMAN TEXTILES LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
S R C CHEMICALS PVT LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
B2C CONSULTING LLP,BHARATIYA JANATA PARTY,10000000,1.0000,1
DERIVE TRADING AND RESORTS PRIVATE LIMITED,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,1.0000,1
K RAHEJA CORP PVT LTD,SHIVSENA,10000000,1.0000,1
INOX LEISURE LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
HIND TERMINALS PVT LTD,BHARATIYA JANATA PARTY,10000000,1.0000,1
BG SHIRKE CONSTRUCTION TECHNOLOGY PVT LTD,AAM AADMI PARTY,10000000,1.0000,1
CENTURY TEXTILES AND INDUSTRIES LTD,SHIVSENA,10000000,1.0000,1
