purchaser_name_raw,party_name,total_amount_inr,total_amount_cr,bond_count
KNR CONSTRUCTIONS LTD,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
ABNLINVESTMENTLIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
BALU IRON AND STEEL COMPANY,BHARATIYA JANATA PARTY,100000000,10.0000,10
TVS MOTOR COMPANY LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
SHRI SHAMLAJI SALES PRIVATE LIMITED,BIJU JANATA DAL,100000000,10.0000,10
NATCO PHARMA LTD,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
CYIENT LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
APL HEALTHCARE LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
SNEHA KINETIC POWER PROJECTS PVT LTD,YSR  CONGRESS PARTY  (YUVAJANA SRAMIKA RYTHU CONGRESS PARTY),100000000,10.0000,10
MSN LABORATORIES PVT LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
ACE URBAN DEVELOPERS PVT LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
SRI SIDDHARTH INFRATECH AND SERVICES I P,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000000,10.0000,10
DR.REDDY'S LABORATORIES LTD,TELUGU DESAM PARTY,100000000,10.0000,10
BHARAT BIOTECH INTERNATIONAL LIMITED,TELUGU DESAM PARTY,100000000,10.0000,10
WESTERN UP POWER TRANSMISSION COMPANY LI MITED,JANASENA PARTY,100000000,10.0000,10
WONDER CEMENT LTD,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000000,10.0000,10
GUJARAT FLUORO CHEMICALS LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
APCO INFRATECH PRIVATE LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
KAYPEE ENTERPRISES,BIJU JANATA DAL,100000000,10.0000,10
WONDER CEMENT LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
INFOTELTECHNOLOGIESPRIVATELIMITE,BHARATIYA JANATA PARTY,100000000,10.0000,10
PIRAMAL CAPITAL AND HOUSING FINANCE LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
MYTRAH ENERGY INDIA PRIVATE LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
PIRAMAL ENTERPRISES LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
PRL DEVELOPERS PRIVATE LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
PEGASUS PROPERTIES PVT LTD,BHARATIYA JANATA PARTY,100000000,10.0000,19
BAJAJ HOLDINGS & INVESTMENT LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
BAJAJ AUTO LTD,BHARATIYA JANATA PARTY,100000000,10.0000,19
KEVENTER FOODPARK INFRA LIMITED,ADYAKSHA SAMAJVADI PARTY,100000000,10.0000,10
MADANLAL LTD.,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000000,10.0000,10
BRIGHT STAR INVESTMENTS PVT.LTD,BHARATIYA JANATA PARTY,100000000,10.0000,10
ENAM HOLDINGS PRIVATE LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
SELENE CONSTRUCTIONS LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
SYLVANUS PROPERTIES LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
ATHENA INFRASTRUCTURE LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
ULTRATECHCEMENTSLTD,BIJU JANATA DAL,100000000,10.0000,10
GRASIM INDUSTRIES LTD,BIJU JANATA DAL,100000000,10.0000,10
UPL LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
UTKAL ALUMINA INTERNATIONAL LTD,BIJU JANATA DAL,100000000,10.0000,10
PHILLIPS CARBON BLACK LIMITED,ALL INDIA TRINAMOOL CONGRESS,100000000,10.0000,10
APCO INFRATECH PVT LTD  FORMERLY AP,BHARATIYA JANATA PARTY,100000000,10.0000,10
APCO INFRATECH PRIVATE LIMITED,BHARATIYA JANATA PARTY,100000000,10.0000,10
CHANDRAJYOTI ESTATE DEVELOPERS PVT.,BHARATIYA JANATA PARTY,100000000,10.0000,10
J.K.CEMENT LTD.,BHARATIYA JANATA PARTY,100000000,10.0000,64
ORISSA METALIKS PVT LIMITED,BIJU JANATA DAL,100000000,10.0000,10
MEGHA ENGINEERING AND INFRASTRUCTURES LTD,BIHAR PRADESH JANTA DAL(UNITED),100000000,10.0000,10
SRICHAITANYA STUDENTS FACILITY MANAGEMENT PVT LTD,BHARAT RASHTRA SAMITHI,100000000,10.0000,10
GLENMARK PHARMACEUTICALS LTD,BHARATIYA JANATA PARTY,97500000,9.7500,21
MICHIGAN ENGINEERS PVT LTD,BHARATIYA JANATA PARTY,90000000,9.0000,9
ASKUS LOGISTICS PRIVATE LIMITED,RASHTRIYA JANTA DAL,90000000,9.0000,9
KITEX CHILDRENSWEAR LTD,BHARAT RASHTRA SAMITHI,90000000,9.0000,9
HARDESH ORES PVT LTD,BHARATIYA JANATA PARTY,90000000,9.0000,9
INDUSTRIAL TECHNO MAN POWER SUPPLY AND SERVICES PVT LTD,BHARATIYA JANATA PARTY,90000000,9.0000,9
